id,key,name,project.id,jiraProjectVersion,status.id,folder.id,description,plannedStartDate,plannedEndDate,owner.accountId,Environment,links.issues.self,links.issues.issueId,links.issues.id,links.issues.target,links.issues.type,links.webLinks.self,links.webLinks.description,links.webLinks.url,links.webLinks.id,links.webLinks.type,links.testPlans.id,links.testPlans.testPlanId,links.testPlans.type,links.testPlans.target
22841594,TBCC-R229,RegressivoAUT_Corporate_06-06-2024T13:59:10,296786,,5360304,13863429.0,,,,,QA,,,,,,,,,,,,,,
22841644,TBCC-R230,RegressivoAUT_Corporate_06-06-2024T14:1:44,296786,,5360305,13863429.0,,,,,QA,,,,,,,,,,,,,,
22859093,TBCC-R231,RegressivoAUT_Corporate_06-06-2024T20:58:22,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22875809,TBCC-R232,RegressivoAUT_Corporate_07-06-2024T11:17:8,296786,,5360304,13863429.0,,,,,QA,,,,,,,,,,,,,,
22876478,TBCC-R233,RegressivoAUT_Corporate_07-06-2024T11:50:6,296786,,5360304,13863429.0,,,,,QA,,,,,,,,,,,,,,
22892356,TBCC-R234,RegressivoAUT_Corporate_07-06-2024T13:2:47,296786,,5360304,13863429.0,,,,,QA,,,,,,,,,,,,,,
22896808,TBCC-R235,RegressivoAUT_Corporate_07-06-2024T16:41:48,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22939767,TBCC-R236,RegressivoAUT_Corporate_10-06-2024T12:30:6,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22940224,TBCC-R237,RegressivoAUT_Corporate_10-06-2024T12:47:56,296786,,5360305,13863429.0,,,,,QA,,,,,,,,,,,,,,
22955771,TBCC-R238,RegressivoAUT_Corporate_10-06-2024T20:36:33,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22956724,TBCC-R239,RegressivoAUT_Corporate_10-06-2024T21:14:51,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22982609,TBCC-R240,RegressivoAUT_Corporate_11-06-2024T19:53:17,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23005307,TBCC-R241,TBCC-1484 - [User-Management] Busca de usuários por CompanyId,296786,,5360306,14793744.0,,2024-06-12T17:05:13Z,2024-06-12T17:05:13Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/90240846,239968,90240846,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/239968,RELATED,,,,,,,,,
23008593,TBCC-R242,RegressivoAUT_Corporate_12-06-2024T20:27:0,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23082806,TBCC-R247,RegressivoAUT_Corporate_13-06-2024T20:51:51,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
